SYMBOL,NAME OF COMPANY,SECTOR
LUMAXIND,Lumax Industries Limited,Industrials
LUMAXTECH,Lumax Auto Technologies Limited,Technology
LUPIN,Lupin Limited,Utilities
LUXIND,Lux Industries Limited,RealEstate
LXCHEM,Laxmi Organic Industries Limited,Industrials
LYKALABS,Lyka Labs Limited,Utilities
LYPSAGEMS,Lypsa Gems & Jewellery Limited,Energy
M&M,Mahindra & Mahindra Limited,Energy
M&MFIN,Mahindra & Mahindra Financial Services Limited,Financial Services
MAANALU,Maan Aluminium Limited,Energy
MACPOWER,Macpower CNC Machines Limited,Energy
MADHAV,Madhav Marbles and Granites Limited,Materials
MADHUCON,Madhucon Projects Limited,Technology
MADRASFERT,Madras Fertilizers Limited,Consumer Goods
MAGADSUGAR,Magadh Sugar & Energy Limited,Energy
MAGNUM,Magnum Ventures Limited,Energy
MAHABANK,Bank of Maharashtra,Financial Services
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,Financial Services
MAHASTEEL,Mahamaya Steel Industries Limited,Industrials
MAHEPC,Mahindra EPC Irrigation Limited,Technology
MAHESHWARI,Maheshwari Logistics Limited,Telecommunications
MAHLIFE,Mahindra Lifespace Developers Limited,Consumer Goods
MAHLOG,Mahindra Logistics Limited,Materials
MAHSCOOTER,Maharashtra Scooters Limited,Consumer Goods
MAHSEAMLES,Maharashtra Seamless Limited,Energy
MAITHANALL,Maithan Alloys Limited,Industrials
MALLCOM,Mallcom (India) Limited,Energy
MALUPAPER,Malu Paper Mills Limited,Energy
MAMATA,Mamata Machinery Limited,RealEstate
MANAKALUCO,Manaksia Aluminium Company Limited,Materials
MANAKCOAT,Manaksia Coated Metals & Industries Limited,Healthcare
MANAKSIA,Manaksia Limited,Consumer Goods
MANAKSTEEL,Manaksia Steels Limited,Telecommunications
MANALIPETC,Manali Petrochemicals Limited,Energy
MANAPPURAM,Manappuram Finance Limited,Financial Services
MANBA,Manba Finance Limited,Financial Services
MANCREDIT,Mangal Credit and Fincorp Limited,Financial Services
MANGALAM,Mangalam Drugs And Organics Limited,Healthcare
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,RealEstate
MANGLMCEM,Mangalam Cement Limited,RealEstate
MANINDS,Man Industries (India) Limited,Telecommunications
MANINFRA,Man Infraconstruction Limited,RealEstate
MANKIND,Mankind Pharma Limited,Healthcare
MANOMAY,Manomay Tex India Limited,Materials
MANORAMA,Manorama Industries Limited,Industrials
MANORG,Mangalam Organics Limited,Materials
MANUGRAPH,Manugraph India Limited,Consumer Goods
MANYAVAR,Vedant Fashions Limited,Consumer Goods
MAPMYINDIA,C.E. Info Systems Limited,Technology
MARALOVER,Maral Overseas Limited,Industrials
MARATHON,Marathon Nextgen Realty Limited,RealEstate
MARICO,Marico Limited,Financial Services
MARINE,Marine Electricals (India) Limited,Telecommunications
MARKSANS,Marksans Pharma Limited,Healthcare
MARSHALL,Marshall Machines Limited,Materials
MARUTI,Maruti Suzuki India Limited,Utilities
MASFIN,MAS Financial Services Limited,Financial Services
MASKINVEST,Mask Investments Limited,RealEstate
MASTEK,Mastek Limited,Telecommunications
MASTERTR,Master Trust Limited,Consumer Goods
MATRIMONY,Matrimony.Com Limited,RealEstate
MAWANASUG,Mawana Sugars Limited,Healthcare
MAXESTATES,Max Estates Limited,RealEstate
MAXHEALTH,Max Healthcare Institute Limited,Healthcare
MAXIND,Max India Limited,Materials
MAYURUNIQ,Mayur Uniquoters Ltd,RealEstate
MAZDA,Mazda Limited,Materials
MAZDOCK,Mazagon Dock Shipbuilders Limited,RealEstate
MBAPL,Madhya Bharat Agro Products Limited,Consumer Goods
MBLINFRA,MBL Infrastructure Limited,RealEstate
MCL,Madhav Copper Limited,Industrials
MCLEODRUSS,Mcleod Russel India Limited,Industrials
MCLOUD,Magellanic Cloud Limited,RealEstate
MCX,Multi Commodity Exchange of India Limited,Materials
MEDANTA,Global Health Limited,Healthcare
MEDIASSIST,Medi Assist Healthcare Services Limited,Healthcare
MEDICAMEQ,Medicamen Biotech Limited,Technology
MEDICO,Medico Remedies Limited,Financial Services
MEDPLUS,Medplus Health Services Limited,Healthcare
MEGASOFT,Megasoft Limited,Energy
MEGASTAR,Megastar Foods Limited,Energy
MENONBE,Menon Bearings Limited,Materials
MEP,MEP Infrastructure Developers Limited,RealEstate
METROBRAND,Metro Brands Limited,Consumer Goods
METROPOLIS,Metropolis Healthcare Limited,Healthcare
MFML,Mahalaxmi Fabric Mills Limited,RealEstate
MFSL,Max Financial Services Limited,Financial Services
MGEL,Mangalam Global Enterprise Limited,Utilities
MGL,Mahanagar Gas Limited,Energy
MHLXMIRU,Mahalaxmi Rubtech Limited,Technology
MHRIL,Mahindra Holidays & Resorts India Limited,Industrials
MICEL,MIC Electronics Limited,Technology
MIDHANI,Mishra Dhatu Nigam Limited,Energy
MINDACORP,Minda Corporation Limited,Healthcare
MINDTECK,Mindteck (India) Limited,Utilities
MIRCELECTR,MIRC Electronics Limited,Technology
MIRZAINT,Mirza International Limited,Industrials
MITCON,MITCON Consultancy & Engineering Services Limited,Financial Services
MITTAL,Mittal Life Style Limited,Healthcare
MKPL,M K Proteins Limited,Industrials
MMFL,MM Forgings Limited,Healthcare
MMP,MMP Industries Limited,Consumer Goods
MMTC,MMTC Limited,RealEstate
MOBIKWIK,One Mobikwik Systems Limited,Technology
MODIRUBBER,Modi Rubber Limited,Consumer Goods
MODISONLTD,MODISON LIMITED,Utilities
MODTHREAD,Modern Threads (India) Limited,Materials
MOHITIND,Mohit Industries Limited,Technology
MOIL,MOIL Limited,Energy
MOKSH,Moksh Ornaments Limited,Utilities
MOL,Meghmani Organics Limited,Industrials
MOLDTECH,Mold-Tek Technologies Limited,Technology
MOLDTKPAC,Mold-Tek Packaging Limited,Energy
MONARCH,Monarch Networth Capital Limited,Financial Services
MONTECARLO,Monte Carlo Fashions Limited,Consumer Goods
MORARJEE,Morarjee Textiles Limited,Consumer Goods
MOREPENLAB,Morepen Laboratories Limited,Financial Services
MOSCHIP,Moschip Technologies Limited,Technology
MOTHERSON,Samvardhana Motherson International Limited,Financial Services
MOTILALOFS,Motilal Oswal Financial Services Limited,Financial Services
MOTISONS,Motisons Jewellers Limited,Healthcare
MOTOGENFIN,The Motor & General Finance Limited,Financial Services
MPHASIS,MphasiS Limited,Industrials
MPSLTD,MPS Limited,Financial Services
MRF,MRF Limited,RealEstate
MRO-TEK,MRO-TEK Realty Limited,RealEstate
MRPL,Mangalore Refinery and Petrochemicals Limited,Energy
MSPL,MSP Steel & Power Limited,Energy
MSTCLTD,Mstc Limited,Materials
MSUMI,Motherson Sumi Wiring India Limited,Healthcare
MTARTECH,Mtar Technologies Limited,Technology
MTEDUCARE,MT Educare Limited,Telecommunications
MTNL,Mahanagar Telephone Nigam Limited,Technology
MUFIN,Mufin Green Finance Limited,Financial Services
MUFTI,Credo Brands Marketing Limited,Industrials
MUKANDLTD,Mukand Limited,Utilities
MUKKA,Mukka Proteins Limited,Technology
MUKTAARTS,Mukta Arts Limited,RealEstate
MUNJALAU,Munjal Auto Industries Limited,RealEstate
MUNJALSHOW,Munjal Showa Limited,Telecommunications
MURUDCERA,Murudeshwar Ceramics Limited,Healthcare
MUTHOOTCAP,Muthoot Capital Services Limited,Financial Services
MUTHOOTFIN,Muthoot Finance Limited,Financial Services
MUTHOOTMF,Muthoot Microfin Limited,Telecommunications
MVGJL,Manoj Vaibhav Gems N Jewellers Limited,Financial Services
NACLIND,NACL Industries Limited,Healthcare
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,RealEstate
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,Financial Services
NAGREEKEXP,Nagreeka Exports Limited,Consumer Goods
NAHARCAP,Nahar Capital and Financial Services Limited,Financial Services
NAHARINDUS,Nahar Industrial Enterprises Limited,Healthcare
NAHARPOLY,Nahar Poly Films Limited,Financial Services
NAHARSPING,Nahar Spinning Mills Limited,Industrials
NAM-INDIA,Nippon Life India Asset Management Limited,Materials
NARMADA,Narmada Agrobase Limited,Utilities
NATCAPSUQ,Natural Capsules Limited,Consumer Goods
NATCOPHARM,Natco Pharma Limited,Healthcare
NATHBIOGEN,Nath Bio-Genes (India) Limited,Healthcare
NATIONALUM,National Aluminium Company Limited,Industrials
NAUKRI,Info Edge (India) Limited,Technology
NAVA,NAVA LIMITED,Technology
NAVINFLUOR,Navin Fluorine International Limited,Industrials
NAVKARCORP,Navkar Corporation Limited,Financial Services
NAVKARURB,Navkar Urbanstructure Limited,Energy
NAVNETEDUL,Navneet Education Limited,Materials
NAZARA,Nazara Technologies Limited,Technology
NBCC,NBCC (India) Limited,Financial Services
NBIFIN,N. B. I. Industrial Finance Company Limited,Financial Services
NCC,NCC Limited,Technology
NCLIND,NCL Industries Limited,RealEstate
NDGL,Naga Dhunseri Group Limited,Industrials
NDL,Nandan Denim Limited,Telecommunications
NDLVENTURE,NDL Ventures Limited,Financial Services
NDRAUTO,Ndr Auto Components Limited,Utilities
NDTV,New Delhi Television Limited,Healthcare
NECCLTD,North Eastern Carrying Corporation Limited,Financial Services
NECLIFE,Nectar Lifesciences Limited,Technology
NELCAST,Nelcast Limited,Healthcare
NELCO,NELCO Limited,Energy
NEOGEN,Neogen Chemicals Limited,Energy
NESCO,Nesco Limited,Financial Services
NESTLEIND,Nestle India Limited,Healthcare
NETWEB,Netweb Technologies India Limited,Technology
NETWORK18,Network18 Media & Investments Limited,RealEstate
NEULANDLAB,Neuland Laboratories Limited,RealEstate
NEWGEN,Newgen Software Technologies Limited,Technology
NEXTMEDIA,Next Mediaworks Limited,Materials
NFL,National Fertilizers Limited,Energy
NGIL,Nakoda Group of Industries Limited,Industrials
NGLFINE,NGL Fine-Chem Limited,Energy
NH,Narayana Hrudayalaya Ltd.,Healthcare
NHPC,NHPC Limited,Technology
NIACL,The New India Assurance Company Limited,RealEstate
NIBE,NIBE Limited,Healthcare
NIBL,NRB Industrial Bearings Limited,Industrials
NIITLTD,NIIT Limited,Technology
NIITMTS,NIIT Learning Systems Limited,Technology
NILAINFRA,Nila Infrastructures Limited,RealEstate
NILASPACES,Nila Spaces Limited,Utilities
NILKAMAL,Nilkamal Limited,Energy
NINSYS,NINtec Systems Limited,Technology
NIPPOBATRY,Indo-National Limited,RealEstate
NIRAJ,Niraj Cement Structurals Limited,RealEstate
NIRAJISPAT,Niraj Ispat Industries Limited,RealEstate
NITCO,Nitco Limited,Energy
NITINSPIN,Nitin Spinners Limited,Materials
NITIRAJ,Nitiraj Engineers Limited,Utilities
NIVABUPA,Niva Bupa Health Insurance Company Limited,Financial Services
NKIND,NK Industries Limited,Consumer Goods
NLCINDIA,NLC India Limited,Telecommunications
NMDC,NMDC Limited,Materials
NOCIL,NOCIL Limited,Energy
NOIDATOLL,Noida Toll Bridge Company Limited,Materials
NORBTEAEXP,Norben Tea & Exports Limited,Energy
NORTHARC,Northern Arc Capital Limited,Financial Services
NOVAAGRI,Nova Agritech Limited,Technology
NRAIL,N R Agarwal Industries Limited,Consumer Goods
NRBBEARING,NRB Bearing Limited,Industrials
NRL,Nupur Recyclers Limited,Healthcare
NSIL,Nalwa Sons Investments Limited,Materials
NSLNISP,NMDC Steel Limited,Telecommunications
NTPC,NTPC Limited,Telecommunications
NTPCGREEN,NTPC Green Energy Limited,Energy
NUCLEUS,Nucleus Software Exports Limited,Technology
NURECA,Nureca Limited,Financial Services
NUVAMA,Nuvama Wealth Management Limited,Financial Services
NUVOCO,Nuvoco Vistas Corporation Limited,Telecommunications
NYKAA,FSN E-Commerce Ventures Limited,Technology
OAL,Oriental Aromatics Limited,Telecommunications
OBCL,Orissa Bengal Carrier Limited,Healthcare
OBEROIRLTY,Oberoi Realty Limited,RealEstate
OCCL,Oriental Carbon & Chemicals Limited,Technology
OCCLLTD,OCCL Limited,Energy
ODIGMA,Odigma Consultancy Solutions Limited,Technology
OFSS,Oracle Financial Services Software Limited,Financial Services
OIL,Oil India Limited,Energy
OILCOUNTUB,Oil Country Tubular Limited,Energy
OLAELEC,Ola Electric Mobility Limited,Materials
OLECTRA,Olectra Greentech Limited,Technology
OMAXAUTO,Omax Autos Limited,Telecommunications
OMAXE,Omaxe Limited,Industrials
OMINFRAL,OM INFRA LIMITED,RealEstate
OMKARCHEM,Omkar Speciality Chemicals Limited,Technology
ONELIFECAP,Onelife Capital Advisors Limited,Financial Services
ONEPOINT,One Point One Solutions Limited,Technology
ONESOURCE,Onesource Specialty Pharma Limited,Healthcare
ONGC,Oil & Natural Gas Corporation Limited,Energy
ONMOBILE,OnMobile Global Limited,Energy
ONWARDTEC,Onward Technologies Limited,Technology
OPTIEMUS,Optiemus Infracom Limited,RealEstate
ORBTEXP,Orbit Exports Limited,Technology
ORCHASP,Orchasp Limited,Healthcare
ORCHPHARMA,Orchid Pharma Limited,Healthcare
ORICONENT,Oricon Enterprises Limited,Telecommunications
ORIENTALTL,Oriental Trimex Limited,Financial Services
ORIENTBELL,Orient Bell Limited,Telecommunications
ORIENTCEM,Orient Cement Limited,RealEstate
ORIENTCER,ORIENT CERATECH LIMITED,Technology
ORIENTELEC,Orient Electric Limited,Telecommunications
ORIENTHOT,Oriental Hotels Limited,Consumer Goods
ORIENTLTD,Orient Press Limited,Utilities
ORIENTPPR,Orient Paper & Industries Limited,Utilities
ORIENTTECH,Orient Technologies Limited,Technology
ORISSAMINE,The Orissa Minerals Development Company Limited,Financial Services
ORTINGLOBE,ORTIN GLOBAL LIMITED,Energy
OSIAHYPER,Osia Hyper Retail Limited,Consumer Goods
OSWALAGRO,Oswal Agro Mills Limited,Utilities
OSWALGREEN,Oswal Greentech Limited,Technology
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,Consumer Goods
PAGEIND,Page Industries Limited,Healthcare
PAISALO,Paisalo Digital Limited,Technology
PAKKA,PAKKA LIMITED,Healthcare
PALASHSECU,Palash Securities Limited,Industrials
PALREDTEC,Palred Technologies Limited,Technology
PANACEABIO,Panacea Biotec Limited,Financial Services
PANACHE,Panache Digilife Limited,Materials
PANAMAPET,Panama Petrochem Limited,Energy
PANSARI,Pansari Developers Limited,RealEstate
PAR,Par Drugs And Chemicals Limited,Healthcare
PARACABLES,Paramount Communications Limited,Consumer Goods
PARADEEP,Paradeep Phosphates Limited,Energy
PARAGMILK,Parag Milk Foods Limited,Consumer Goods
PARAS,Paras Defence and Space Technologies Limited,Technology
PARASPETRO,Paras Petrofils Limited,Energy
PARKHOTELS,Apeejay Surrendra Park Hotels Limited,Consumer Goods
PARSVNATH,Parsvnath Developers Limited,Telecommunications
PASUPTAC,Pasupati Acrylon Limited,Materials
PATANJALI,Patanjali Foods Limited,Consumer Goods
PATELENG,Patel Engineering Limited,Technology
PATINTLOG,Patel Integrated Logistics Limited,Healthcare
PAVNAIND,Pavna Industries Limited,Healthcare
PAYTM,One 97 Communications Limited,Energy
PCBL,PCBL Chemical Limited,RealEstate
PCJEWELLER,PC Jeweller Limited,RealEstate
PDMJEPAPER,Pudumjee Paper Products Limited,RealEstate
PDSL,PDS Limited,Telecommunications
PEARLPOLY,Pearl Polymers Limited,Financial Services
PEL,Piramal Enterprises Limited,Materials
PENIND,Pennar Industries Limited,Telecommunications
PENINLAND,Peninsula Land Limited,Consumer Goods
PERSISTENT,Persistent Systems Limited,Technology
PETRONET,Petronet LNG Limited,Energy
PFC,Power Finance Corporation Limited,Financial Services
PFIZER,Pfizer Limited,Telecommunications
PFOCUS,Prime Focus Limited,Financial Services
PFS,PTC India Financial Services Limited,Financial Services
PGEL,PG Electroplast Limited,Telecommunications
PGHH,Procter & Gamble Hygiene and Health Care Limited,Healthcare
PGHL,Procter & Gamble Health Limited,Healthcare
PGIL,Pearl Global Industries Limited,Consumer Goods
PHOENIXLTD,The Phoenix Mills Limited,Industrials
PIDILITIND,Pidilite Industries Limited,Telecommunications
PIGL,Power & Instrumentation (Gujarat) Limited,Energy
PIIND,PI Industries Limited,Financial Services
PILANIINVS,Pilani Investment and Industries Corporation Limited,Telecommunications
PILITA,PIL ITALICA LIFESTYLE LIMITED,RealEstate
PIONEEREMB,Pioneer Embroideries Limited,Utilities
PITTIENG,Pitti Engineering Limited,Utilities
PIXTRANS,Pix Transmissions Limited,Financial Services
PKTEA,The Peria Karamalai Tea & Produce Company Limited,Technology
PLASTIBLEN,Plastiblends India Limited,Technology
PLATIND,Platinum Industries Limited,Consumer Goods
PLAZACABLE,Plaza Wires Limited,Healthcare
PNB,Punjab National Bank,Financial Services
PNBGILTS,PNB Gilts Limited,Materials
PNBHOUSING,PNB Housing Finance Limited,Financial Services
PNC,Pritish Nandy Communications Limited,Financial Services
PNCINFRA,PNC Infratech Limited,Technology
PNGJL,P N Gadgil Jewellers Limited,Energy
POCL,Pondy Oxides & Chemicals Limited,Telecommunications
PODDARMENT,Poddar Pigments Limited,RealEstate
POKARNA,Pokarna Limited,Industrials
POLICYBZR,PB Fintech Limited,Technology
POLYCAB,Polycab India Limited,Telecommunications
POLYMED,Poly Medicure Limited,Healthcare
POLYPLEX,Polyplex Corporation Limited,Telecommunications
PONNIERODE,Ponni Sugars (Erode) Limited,Technology
POONAWALLA,Poonawalla Fincorp Limited,Consumer Goods
POWERGRID,Power Grid Corporation of India Limited,Energy
POWERINDIA,Hitachi Energy India Limited,Energy
POWERMECH,Power Mech Projects Limited,Energy
PPAP,PPAP Automotive Limited,Utilities
PPL,Prakash Pipes Limited,Consumer Goods
PPLPHARMA,Piramal Pharma Limited,Healthcare
PRABHA,Prabha Energy Limited,Energy
PRAENG,Prajay Engineers Syndicate Limited,Industrials
PRAJIND,Praj Industries Limited,Materials
PRAKASH,Prakash Industries Limited,RealEstate
PRAKASHSTL,Prakash Steelage Limited,Consumer Goods
PRAXIS,Praxis Home Retail Limited,Consumer Goods
PRECAM,Precision Camshafts Limited,Materials
PRECOT,Precot Limited,Industrials
PRECWIRE,Precision Wires India Limited,Technology
PREMEXPLN,Premier Explosives Limited,Healthcare
PREMIER,Premier Limited,Financial Services
PREMIERENE,Premier Energies Limited,Utilities
PREMIERPOL,Premier Polyfilm Limited,Energy
PRESTIGE,Prestige Estates Projects Limited,RealEstate
PRICOLLTD,Pricol Limited,Utilities
PRIMESECU,Prime Securities Limited,Technology
PRINCEPIPE,Prince Pipes And Fittings Limited,RealEstate
PRITI,Priti International Limited,Industrials
PRITIKAUTO,Pritika Auto Industries Limited,Healthcare
PRIVISCL,Privi Speciality Chemicals Limited,Energy
PROTEAN,Protean eGov Technologies Limited,Technology
PROZONER,Prozone Realty Limited,RealEstate
PRSMJOHNSN,Prism Johnson Limited,Financial Services
PRUDENT,Prudent Corporate Advisory Services Limited,Utilities
PRUDMOULI,Prudential Sugar Corporation Limited,Technology
PSB,Punjab & Sind Bank,Financial Services
PSPPROJECT,PSP Projects Limited,Materials
PTC,PTC India Limited,Utilities
PTCIL,PTC Industries Limited,Healthcare
PTL,PTL Enterprises Limited,Healthcare
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,Healthcare
PURVA,Puravankara Limited,Telecommunications
PVP,PVP Ventures Limited,Industrials
PVRINOX,PVR INOX Limited,Utilities
PVSL,Popular Vehicles and Services Limited,Industrials
PYRAMID,Pyramid Technoplast Limited,Technology
QPOWER,Quality Power Electrical Equipments Limited,Energy
QUADFUTURE,Quadrant Future Tek Limited,Healthcare
QUESS,Quess Corp Limited,Financial Services
QUICKHEAL,Quick Heal Technologies Limited,Technology
RACE,Race Eco Chain Limited,Technology
RACLGEAR,RACL Geartech Limited,Technology
RADAAN,Radaan Mediaworks India Limited,Utilities
RADHIKAJWE,Radhika Jeweltech Limited,Technology
RADIANTCMS,Radiant Cash Management Services Limited,Energy
RADICO,Radico Khaitan Limited,Financial Services
RADIOCITY,Music Broadcast Limited,Consumer Goods
RAILTEL,Railtel Corporation Of India Limited,RealEstate
RAIN,Rain Industries Limited,Utilities
RAINBOW,Rainbow Childrens Medicare Limited,Consumer Goods
RAJESHEXPO,Rajesh Exports Limited,Technology
RAJMET,Rajnandini Metal Limited,Healthcare
RAJRATAN,Rajratan Global Wire Limited,Telecommunications
RAJRILTD,Raj Rayon Industries Limited,Energy
RAJSREESUG,Rajshree Sugars & Chemicals Limited,Consumer Goods
RAJTV,Raj Television Network Limited,Materials
RALLIS,Rallis India Limited,Technology
RAMANEWS,Shree Rama Newsprint Limited,Utilities
RAMAPHO,Rama Phosphates Limited,Industrials
RAMASTEEL,Rama Steel Tubes Limited,Technology
RAMCOCEM,The Ramco Cements Limited,RealEstate
RAMCOIND,Ramco Industries Limited,Healthcare
RAMCOSYS,Ramco Systems Limited,Technology
RAMKY,Ramky Infrastructure Limited,RealEstate
RAMRAT,Ram Ratna Wires Limited,Telecommunications
RANASUG,Rana Sugars Limited,Consumer Goods
RANEENGINE,Rane Engine Valve Limited,Industrials
RANEHOLDIN,Rane Holdings Limited,Industrials
RATEGAIN,Rategain Travel Technologies Limited,Technology
RATNAMANI,Ratnamani Metals & Tubes Limited,Telecommunications
RATNAVEER,Ratnaveer Precision Engineering Limited,Consumer Goods
RAYMOND,Raymond Limited,Financial Services
RAYMONDLSL,Raymond Lifestyle Limited,Materials
RBA,Restaurant Brands Asia Limited,Materials
RBL,Rane Brake Lining Limited,Healthcare
RBLBANK,RBL Bank Limited,Financial Services
RBZJEWEL,RBZ Jewellers Limited,Industrials
RCF,Rashtriya Chemicals and Fertilizers Limited,Financial Services
RECLTD,REC Limited,Technology
REDINGTON,Redington Limited,Industrials
REDTAPE,Redtape Limited,Industrials
REFEX,Refex Industries Limited,RealEstate
REGENCERAM,Regency Ceramics Limited,Telecommunications
RELAXO,Relaxo Footwears Limited,Energy
RELCHEMQ,Reliance Chemotex Industries Limited,Materials
RELIABLE,Reliable Data Services Limited,Technology
RELIANCE,Reliance Industries Limited,Energy
RELIGARE,Religare Enterprises Limited,Utilities
RELINFRA,Reliance Infrastructure Limited,RealEstate
RELTD,Ravindra Energy Limited,Energy
REMSONSIND,Remsons Industries Limited,Industrials
RENUKA,Shree Renuka Sugars Limited,Consumer Goods
REPCOHOME,Repco Home Finance Limited,Financial Services
REPL,Rudrabhishek Enterprises Limited,Technology
REPRO,Repro India Limited,Consumer Goods
RESPONIND,Responsive Industries Limited,Healthcare
RETAIL,JHS Svendgaard Retail Ventures Limited,Consumer Goods
RGL,Renaissance Global Limited,Materials
RHFL,Reliance Home Finance Limited,Financial Services
RHIM,RHI MAGNESITA INDIA LIMITED,Technology
RHL,Robust Hotels Limited,Consumer Goods
RICOAUTO,Rico Auto Industries Limited,Consumer Goods
RIIL,Reliance Industrial Infrastructure Limited,RealEstate
RISHABH,Rishabh Instruments Limited,Materials
RITCO,Ritco Logistics Limited,Consumer Goods
RITES,RITES Limited,Energy
RKDL,Ravi Kumar Distilleries Limited,Utilities
RKEC,RKEC Projects Limited,Financial Services
RKFORGE,Ramkrishna Forgings Limited,Healthcare
RKSWAMY,R K Swamy Limited,Healthcare
RML,Rane (Madras) Limited,Energy
ROHLTD,Royal Orchid Hotels Limited,Consumer Goods
ROLEXRINGS,Rolex Rings Limited,Financial Services
ROLLT,Rollatainers Limited,Technology
ROLTA,Rolta India Limited,Telecommunications
ROML,Raj Oil Mills Limited,Energy
ROSSARI,Rossari Biotech Limited,Technology
ROSSELLIND,Rossell India Limited,Industrials
ROSSTECH,Rossell Techsys Limited,Technology
ROTO,Roto Pumps Limited,Technology
ROUTE,ROUTE MOBILE LIMITED,Utilities
RPEL,Raghav Productivity Enhancers Limited,Financial Services
RPGLIFE,RPG Life Sciences Limited,Financial Services
RPOWER,Reliance Power Limited,Energy
RPPINFRA,R.P.P. Infra Projects Limited,RealEstate
RPPL,Rajshree Polypack Limited,Materials
RPSGVENT,RPSG VENTURES LIMITED,Utilities
RPTECH,Rashi Peripherals Limited,Consumer Goods
RRKABEL,R R Kabel Limited,Technology
RSSOFTWARE,R. S. Software (India) Limited,Technology
RSWM,RSWM Limited,Consumer Goods
RSYSTEMS,R Systems International Limited,Technology
RTNINDIA,RattanIndia Enterprises Limited,Utilities
RTNPOWER,RattanIndia Power Limited,Energy
RUBFILA,Rubfila International Limited,Materials
RUBYMILLS,The Ruby Mills Limited,Healthcare
RUCHINFRA,Ruchi Infrastructure Limited,RealEstate
RUCHIRA,Ruchira Papers Limited,Technology
RUPA,Rupa & Company Limited,Industrials
RUSHIL,Rushil Decor Limited,Financial Services
RUSTOMJEE,Keystone Realtors Limited,RealEstate
RVHL,Ravinder Heights Limited,Utilities
RVNL,Rail Vikas Nigam Limited,Healthcare
RVTH,Revathi Equipment India Limited,Industrials
S&SPOWER,S&S Power Switchgears Limited,Energy
SABEVENTS,Sab Events & Governance Now Media Limited,Energy
SABTNL,Sri Adhikari Brothers Television Network Limited,Materials
SADBHAV,Sadbhav Engineering Limited,Industrials
SADBHIN,Sadbhav Infrastructure Project Limited,RealEstate
SADHNANIQ,Sadhana Nitrochem Limited,Healthcare
SAFARI,Safari Industries (India) Limited,Utilities
SAGARDEEP,Sagardeep Alloys Limited,Telecommunications
SAGCEM,Sagar Cements Limited,RealEstate
SAGILITY,Sagility India Limited,Technology
SAH,Sah Polymers Limited,Industrials
SAHYADRI,Sahyadri Industries Limited,Technology
SAIL,Steel Authority of India Limited,Materials
SAILIFE,Sai Life Sciences Limited,RealEstate
SAKAR,Sakar Healthcare Limited,Healthcare
SAKHTISUG,Sakthi Sugars Limited,Utilities
SAKSOFT,Saksoft Limited,Utilities
SAKUMA,Sakuma Exports Limited,Consumer Goods
SALASAR,Salasar Techno Engineering Limited,Technology
SALONA,Salona Cotspin Limited,Telecommunications
SALSTEEL,S.A.L. Steel Limited,Consumer Goods
SALZERELEC,Salzer Electronics Limited,Technology
SAMBHAAV,Sambhaav Media Limited,Materials
SAMHI,Samhi Hotels Limited,Consumer Goods
SAMMAANCAP,Sammaan Capital Limited,Financial Services
SAMPANN,Sampann Utpadan India Limited,Industrials
SANATHAN,Sanathan Textiles Limited,Consumer Goods
SANCO,Sanco Industries Limited,Telecommunications
SANDESH,The Sandesh Limited,Telecommunications
SANDHAR,Sandhar Technologies Limited,Technology
SANDUMA,Sandur Manganese & Iron Ores Limited,Utilities
SANGAMIND,Sangam (India) Limited,Technology
SANGHIIND,Sanghi Industries Limited,Healthcare
SANGHVIMOV,Sanghvi Movers Limited,Healthcare
SANGINITA,Sanginita Chemicals Limited,Consumer Goods
SANOFI,Sanofi India Limited,Industrials
SANOFICONR,Sanofi Consumer Healthcare India Limited,Healthcare
SANSERA,Sansera Engineering Limited,Technology
SANSTAR,Sanstar Limited,RealEstate
SANWARIA,Sanwaria Consumer Limited,Consumer Goods
SAPPHIRE,Sapphire Foods India Limited,Consumer Goods
SARDAEN,Sarda Energy & Minerals Limited,Energy
SAREGAMA,Saregama India Limited,Financial Services
SARLAPOLY,Sarla Performance Fibers Limited,Materials
SARVESHWAR,Sarveshwar Foods Limited,Consumer Goods
SASKEN,Sasken Technologies Limited,Technology
SASTASUNDR,Sastasundar Ventures Limited,RealEstate
SATIA,Satia Industries Limited,Materials
SATIN,Satin Creditcare Network Limited,Financial Services
SATINDLTD,Sat Industries Limited,Energy
SAURASHCEM,Saurashtra Cement Limited,RealEstate
SBC,SBC Exports Limited,Financial Services
SBCL,Shivalik Bimetal Controls Limited,Healthcare
SBFC,SBFC Finance Limited,Financial Services
SBGLP,Suratwwala Business Group Limited,Financial Services
SBICARD,SBI Cards and Payment Services Limited,Materials
SBILIFE,SBI Life Insurance Company Limited,Financial Services
SBIN,State Bank of India,Financial Services
SCHAEFFLER,Schaeffler India Limited,Industrials
SCHAND,S Chand And Company Limited,Energy
SCHNEIDER,Schneider Electric Infrastructure Limited,RealEstate
SCI,Shipping Corporation Of India Limited,Technology
SCILAL,Shipping Corporation of India Land and Assets Limited,Healthcare
